"scientificName","decimalLongitude","decimalLatitude","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","references"
"Betula nana L.",16.052,59.753,NA,"PRESENT",50,"SLU Artdatabanken",NA
"Betula nana L.",16.018,59.774,NA,"PRESENT",50,"SLU Artdatabanken",NA
"Betula nana L.",16.014,59.777,NA,"PRESENT",50,"SLU Artdatabanken",NA
"Betula nana L.",18.991,69.634,NA,"PRESENT",8,"iNaturalist","https://www.inaturalist.org/observations/149087937"
"Betula nana L.",15.985,59.801,NA,"PRESENT",25,"SLU Artdatabanken",NA
"Betula nana L.",16.278,59.753,NA,"PRESENT",25,"SLU Artdatabanken",NA
"Betula nana L.",25.046,70.066,NA,"PRESENT",8,"nbf",NA
"Betula nana L.",44.253,65.851,NA,"PRESENT",100,"iNaturalist","https://www.inaturalist.org/observations/160176633"
"Betula nana L.",27.447,68.435,NA,"PRESENT",1000,NA,NA
"Betula nana L.",27.965,60.924,NA,"PRESENT",1000,NA,NA
"Betula nana L.",7.075,47.243,NA,"PRESENT",3535,NA,NA
"Betula nana L.",15.876,65.959,NA,"PRESENT",10,"SLU Artdatabanken",NA
"Betula nana L.",25.104,70.354,NA,"PRESENT",8,"nbf",NA
"Betula nana L.",6.211,59.045,NA,"PRESENT",10,"nbf",NA
"Betula nana L.",6.212,59.044,NA,"PRESENT",10,"nbf",NA
"Betula nana L.",27.13,61.796,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/162255805"
"Betula nana L.",27.125,61.794,NA,"PRESENT",8,"iNaturalist","https://www.inaturalist.org/observations/162261789"
"Betula nana L.",10.504,51.731,NA,"PRESENT",26164,"iNaturalist","https://www.inaturalist.org/observations/162654952"
"Betula nana L.",26.77,67.575,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/163299103"
"Betula nana L.",27.187,64.721,NA,"PRESENT",3,"iNaturalist","https://www.inaturalist.org/observations/163435207"
"Betula nana L.",27.113,64.734,NA,"PRESENT",3,"iNaturalist","https://www.inaturalist.org/observations/163453735"
"Betula nana L.",26.621,63.915,NA,"PRESENT",3,"iNaturalist","https://www.inaturalist.org/observations/163516198"
"Betula nana L.",26.754,67.705,NA,"PRESENT",9,"iNaturalist","https://www.inaturalist.org/observations/163676696"
"Betula nana L.",27.451,68.435,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/163783890"
"Betula nana L.",27.272,67.027,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/163806627"
"Betula nana L.",27.405,68.598,NA,"PRESENT",23686,"iNaturalist","https://www.inaturalist.org/observations/163955340"
"Betula nana L.",64.71,67.721,NA,"PRESENT",8,"iNaturalist","https://www.inaturalist.org/observations/164202924"
"Betula nana L.",-148.908,63.739,NA,"PRESENT",18,"iNaturalist","https://www.inaturalist.org/observations/164518342"
"Betula nana L.",27.623,70.049,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/164815047"
"Betula nana L.",25.457,62.847,NA,"PRESENT",20,"iNaturalist","https://www.inaturalist.org/observations/164816450"
"Betula nana L.",-51.393,64.133,NA,"PRESENT",3,"iNaturalist","https://www.inaturalist.org/observations/166053087"
"Betula nana L.",6.176,58.989,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/166293545"
"Betula nana L.",6.121,59.051,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/167873145"
"Betula nana L.",6.172,59.043,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/167875897"
"Betula nana L.",-14.045,65.574,1,"PRESENT",NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.273149938"
"Betula nana L.",29.849,63.061,NA,"PRESENT",1000,NA,NA
"Betula nana L.",26.621,63.913,101,"PRESENT",1,NA,NA
"Betula nana L.",24.678,60.562,NA,"PRESENT",1,NA,NA
"Betula nana L.",24.678,60.561,NA,"PRESENT",1,NA,NA
"Betula nana L.",21.567,63.035,NA,"PRESENT",1,NA,NA
"Betula nana L.",21.57,63.036,NA,"PRESENT",1,NA,NA
"Betula nana L.",27.984,60.932,NA,"PRESENT",1000,NA,NA
"Betula nana L.",22.633,62.402,NA,"PRESENT",1000,NA,NA
"Betula nana L.",22.632,62.411,NA,"PRESENT",1000,NA,NA
"Betula nana L.",22.649,62.43,NA,"PRESENT",1000,NA,NA
"Betula nana L.",22.587,62.455,NA,"PRESENT",1000,NA,NA
"Betula nana L.",22.563,62.481,NA,"PRESENT",1000,NA,NA
"Betula nana L.",22.164,62.665,NA,"PRESENT",1000,NA,NA
"Betula nana L.",21.93,62.666,NA,"PRESENT",1000,NA,NA
