,E13CBetn01r03r1,E13CBetn01r03r2,E13CBetn01r03r3,E13CBetn01r03r4
2006,24.305,25.41,44.981,41.937
2007,116.473,111.605,107.583,124.727
2008,211.398,183.167,211.119,202.764
2009,56.113,129.895,164.662,100.543
2010,94.836,35.053,33.343,70.005
2011,116.332,110.783,111.661,95.783
2012,86.206,103.626,132.542,84.674
2013,67.793,88.827,99.366,81.857
2014,83.438,75.545,100.307,94.572
2015,91.312,92.47,100.853,98.197
2016,79.55,78.261,68.36,67.569
2017,43.053,29.368,31.225,25.187
2018,48.128,56.616,37.685,27.251
2019,31.55,45.768,24.703,18.623
2020,53.705,105.208,111.322,56.741
