"","E13CBetn01r01r1","E13CBetn01r01r2","E13CBetn01r01r3","E13CBetn01r01r4","E13CBetn01r02r1","E13CBetn01r02r2","E13CBetn01r02r3","E13CBetn01r02r4","E13CBetn01r03r1","E13CBetn01r03r2","E13CBetn01r03r3","E13CBetn01r03r4","E13CBetn01r04r1","E13CBetn01r04r2","E13CBetn01r04r3","E13CBetn01r04r4","E13CBetn01r05r1","E13CBetn01r05r2","E13CBetn01r05r3","E13CBetn01r05r4"
"2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.719,174.889,136.108,125.128,109.165,118.815,126.911,121.152
"2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.773,169.579,192.585,225.165,246.501,231.562,248.977,240.475
"2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.263,43.478,46.066,31.653,151.456,153.259,148.44,107.252
"2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.707,112.729,123.148,118.673,38.174,101.594,50.071,17.754
"2005",238.408,255.328,259.881,177.95,NA,NA,NA,NA,NA,NA,NA,NA,47.318,67.531,73.045,54.258,5.853,31.935,8.215,8.045
"2006",105.38,115.882,240.608,139.019,92.856,134.372,74.009,151.109,NA,NA,NA,NA,53.289,94.71,75.949,63.49,59.306,100.53,37.827,26.834
"2007",51.536,106.255,118.224,75.167,270.872,288.611,291.201,193.488,51.349,61.796,89.036,74.655,58.332,138.007,104.393,67.249,4.64,4.348,21.204,3.096
"2008",113.918,122.532,116.209,163.983,152.827,170.636,121.664,97.709,116.473,111.605,107.583,124.727,135.065,268.723,257.958,162.842,94.937,122.975,79.96,136.756
"2009",154.822,104.03,11.005,152.203,42.878,38.413,34.723,3.695,211.298,183.167,211.119,202.764,145.912,263.792,266.754,170.012,17.943,4.453,49.085,6.877
"2010",265.654,145.582,71.911,200.87,41.463,30.47,38.679,4.348,157.25,148.165,164.662,163.316,42.393,114.83,124.362,95.367,4.348,4.245,20.01,6.372
"2011",233.582,195.399,117.653,223.398,80.442,99.793,84.657,62.76,109.711,127.434,144.438,102.815,56.99,105.971,95.449,95.379,3.074,3.039,52.271,6.159
"2012",215.102,185.882,112.981,209.86,97.126,134.388,106.926,82.511,86.206,103.626,132.542,84.674,76.405,103.607,105.181,159.183,57.885,17.664,86.74,54.883
"2013",82.086,136.408,83.207,143.251,83.227,116.674,91.901,52.918,67.793,88.827,99.366,81.857,1.793,8.427,4.583,49.04,6.076,2.721,36.385,7.686
"2014",120.597,105.524,102.612,142.599,34.023,10.171,18.983,8.967,83.438,75.545,100.307,94.572,70.399,115.729,122.858,126.386,46.894,5.306,76.281,20.681
"2015",237.442,146.429,162.341,245.443,44.078,37.211,66.173,66.431,91.312,92.47,100.853,98.197,72.403,139.147,129.971,135.664,25.549,2.416,73.921,6.522
"2016",44.652,50.012,28.717,79.195,44.339,43.533,73.214,68.844,79.55,78.261,68.36,67.569,9.819,75.502,80.787,69.837,60.498,8.309,101.501,24.186
"2017",122.058,93.383,61.747,165.652,21.799,21.83,42.105,28.995,43.053,29.368,31.225,25.187,5.893,27.712,55.424,51.133,73.76,12.337,123.129,29.878
"2018",129.646,100.689,157.786,245.576,81.807,31.211,138.13,197.859,48.128,56.616,37.685,27.251,9.751,29.931,60.053,51.844,12.902,1.921,50.936,10.853
"2019",69.191,33.818,78.382,93.258,18.246,6.703,23.122,13.572,31.55,45.768,24.703,18.623,7.047,15.984,59.755,30.469,10.773,0.818,48.913,9.535
"2020",5.519,19.742,70.975,14.574,1.812,2.988,8.079,1.288,53.705,105.208,111.322,56.741,63.312,72.99,109.411,169.961,51.618,5.163,133.011,19.579
