"","E13CBetn01r01","E13CBetn01r02","E13CBetn01r03","E13CBetn01r04","E13CBetn01r05"
"2002",NA,NA,NA,185.2755,235.05475
"2003",NA,NA,NA,42.365,143.6995
"2004",NA,NA,NA,111.31425,50.9665
"2005",NA,NA,NA,60.538,12.87325
"2006",150.22225,NA,NA,71.8595,56.12425
"2007",87.7955,261.043,69.209,91.99525,8.322
"2008",129.1605,135.709,115.097,206.147,108.657
"2009",105.515,29.92725,202.087,211.6175,19.5895
"2010",171.00425,28.74,158.34825,94.238,8.74375
"2011",192.508,81.913,121.0995,88.44725,16.40725
"2012",180.95625,105.23775,101.762,111.094,53.773
"2013",111.238,86.18,84.46075,15.96075,15.27675
"2014",117.833,18.036,88.4655,108.843,33.63675
"2015",197.91375,53.47325,95.708,119.29625,30.92075
"2016",50.644,57.4825,73.435,58.98625,42.1215
"2017",110.71,28.68225,32.20825,35.0405,61.391
"2018",158.42425,112.25175,42.42,37.89475,40.1055
"2019",68.66225,15.41075,30.161,28.31375,14.6545
"2020",27.7025,3.54175,81.744,103.9185,36.985
