year,E13CBetn01r01r1,E13CBetn01r01r2,E13CBetn01r01r3,E13CBetn01r01r4,E13CBetn01r02r1,E13CBetn01r02r2,E13CBetn01r02r3,E13CBetn01r02r4,E13CBetn01r03r1,E13CBetn01r03r2,E13CBetn01r03r3,E13CBetn01r03r4,E13CBetn01r04r1,E13CBetn01r04r2,E13CBetn01r04r3,E13CBetn01r04r4,E13CBetn01r05r1,E13CBetn01r05r2,E13CBetn01r05r3,E13CBetn01r05r4,E13CBetn01s01r1,E13CBetn01s01r2,E13CBetn01s01r3,E13CBetn01s01r4,E13CBetn01s02r1,E13CBetn01s02r2,E13CBetn01s02r3,E13CBetn01s02r4,E13CBetn01s03r1,E13CBetn01s03r2,E13CBetn01s03r3,E13CBetn01s03r4,E13CBetn01s04r1,E13CBetn01s04r2,E13CBetn01s04r3,E13CBetn01s04r4,E13CBetn01t01r1,E13CBetn01t01r2,E13CBetn01t01r3,E13CBetn01t01r4,E13CBetn01t02r1,E13CBetn01t02r2,E13CBetn01t02r3,E13CBetn01t02r4,E13CBetn01t03r1,E13CBetn01t03r2,E13CBetn01t03r3,E13CBetn01t03r4,E13CBetn01t04r1,E13CBetn01t04r2,E13CBetn01t04r3,E13CBetn01t04r4,E13CBetn01t05r1,E13CBetn01t05r2,E13CBetn01t05r3,E13CBetn01t05r4,E13CBetn01u01r1,E13CBetn01u01r2,E13CBetn01u01r3,E13CBetn01u01r4,E13CBetn01u02r1,E13CBetn01u02r2,E13CBetn01u02r3,E13CBetn01u02r4,E13CBetn01u03r1,E13CBetn01u03r2,E13CBetn01u03r3,E13CBetn01u03r4,E13CBetn01u04r1,E13CBetn01u04r2,E13CBetn01u04r3,E13CBetn01u04r4
2001,,,,,,,,,,,,,153.719,174.889,136.108,125.128,109.165,118.815,126.911,121.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,164.659,169.579,192.585,225.165,246.501,231.887,221.356,240.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,90.707,43.478,35.053,31.653,151.456,153.259,162.831,107.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,40.085,109.67,134.168,118.673,38.174,101.595,46.343,17.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,238.408,255.328,259.881,177.95,,,,,,,,,59.95,70.543,73.045,65.182,5.853,31.935,5.66,8.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,85.746,227.929,283.601,77.861,92.856,134.372,74.009,151.109,,,,,55.435,97.501,75.949,52.581,59.306,100.53,37.827,26.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,64.894,124.564,153.084,139.692,270.872,288.611,291.201,193.488,51.349,61.796,89.036,74.655,47.937,135.521,104.393,47.862,4.64,4.348,21.204,3.096,83.137,84.761,92.468,110.084,188.587,77.553,113.195,74.281,48.815,41.222,74.891,97.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,123.539,59.376,78.772,139.44,152.827,170.636,121.664,97.709,127.208,116.62,107.583,118.523,92.551,274.389,286.477,175.046,94.937,122.975,79.96,136.756,233.389,198.218,206.527,164.989,190.029,270.907,218.79,244.198,87.441,90.904,85.556,51.327,266.18,87.591,124.465,110.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,203.948,34.798,5.842,165.524,39.298,52.904,34.723,3.695,210.63,179.385,200.675,200.584,151.653,253.504,235.811,177.252,17.943,4.453,49.085,6.877,163.774,162.398,147.023,155.054,163.055,157.248,218.114,176.369,246.994,182.351,265.654,243.867,79.264,140.268,170.143,141.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,225.799,147.835,76.335,222.609,58.162,15.942,38.679,4.348,142.398,144.761,170.331,171.718,24.134,122.891,132.164,87.441,4.348,4.245,20.01,6.372,190.977,183.575,161.521,164.852,141.986,188.574,222.445,190.68,185.146,180.183,196.425,176.379,158.192,270.5,237.395,226.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
