,E13ABetn02s08r1,E13ABetn02s08r2,E13ABetn02s08r3,E13ABetn02s08r4
2001,0.413,4.112,55.797,52.039
2002,0.152,4.348,361.524,235.837
2003,0.413,2.174,156.707,66.434
2004,0.413,4.348,73.985,12.82
2005,0.413,42.366,177.736,134.168
2006,0.413,0.693,80.903,22.929
2007,0.408,0.886,108.891,59.227
2008,0.34,0.886,32.681,16.159
2009,0.346,0.894,59.941,89.519
2010,0.413,0.826,134.967,108.884
2011,0.346,1.028,151.559,144.631
2012,0.34,0.818,104.438,66.171
2013,0.34,0.818,45.975,13.92
2014,0.272,0.818,75.463,139.135
2015,0.408,0.747,10.924,71.31
2016,0.408,0.683,49.022,90.746
2017,0.413,0.75,23.938,35.003
2018,0.408,0.679,47.838,37.401
2019,0.408,0.626,39.13,8.489
2020,0.408,0.75,43.6,78.637
