,E13ABetn02t01r1,E13ABetn02t01r2,E13ABetn02t01r3,E13ABetn02t01r4
2001,145.327,51.502,69.642,88.222
2002,85.622,20.628,121.448,51.987
2003,66.585,4.085,65.018,31.917
2004,103.012,2.995,91.019,92.322
2005,110.046,3.633,77.682,81.99
2006,59.376,18.575,6.947,49.351
2007,60.177,2.725,6.578,39.266
2008,117.215,2.967,6.81,63.589
2009,30.279,3.144,5.435,6.681
2010,26.267,2.921,6.486,7.703
2011,76.505,13.128,55.472,69.599
2012,16.276,4.363,3.656,7.686
2013,127.569,4.002,5.011,61.592
2014,138.633,14.555,4.053,58.176
2015,113.43,1.989,5.011,3.342
2016,0,0,0,0
2017,12.393,1.787,5.285,2.553
2018,80.177,1.643,3.272,2.267
2019,70.174,36.254,8.127,75.099
2020,52.726,1.52,2.727,2.208
