,E13ABetn03o03r1,E13ABetn03o03r2,E13ABetn03o03r3,E13ABetn03o03r4
2006,54.972,50.288,40.26,43.429
2007,12.141,16.707,29.056,28.595
2008,6.493,32.714,35.431,27.579
2009,14.869,42.133,71.856,24.838
2010,11.023,51.148,100.053,39.016
2011,15.066,37.292,65.795,18.087
2012,5.046,35.607,73.394,33.993
2013,19.118,27.315,82.328,48.656
2014,0.532,46.001,86.773,44.701
2015,0.452,4.504,70.109,16.015
2016,0.426,7.025,11.861,1.703
2017,0,0,0,0
2018,0.452,2.427,37.025,0.66
2019,0,0,0,0
2020,0.433,13.428,1.862,0.588
