,E13ABetn03v02r1,E13ABetn03v02r2,E13ABetn03v02r3,E13ABetn03v02r4
2007,73.628,58.322,83.679,80.373
2008,194.994,184.743,174.86,183.951
2009,202.702,197.847,200.38,213.163
2010,186.402,219.566,213.444,183.058
2011,122.858,123.048,143.694,146.82
2012,195.121,175.084,169.961,185.281
2013,169.373,148.409,169.004,171.042
2014,156.349,158.576,165.6,147.103
2015,116.032,115.147,120.893,109.859
2016,128.263,103.925,153.29,148.537
2017,150.306,143.153,155.245,105.718
2018,94.353,106.135,76.486,71.449
2019,28.288,71.074,61.938,10.299
2020,0,0,0,0
