,E13CBetn01s01r1,E13CBetn01s01r2,E13CBetn01s01r3,E13CBetn01s01r4
2006,83.137,84.761,103.237,110.084
2007,116.723,85.572,68.235,60.045
2008,116.676,112.713,138.309,104.955
2009,163.774,162.398,147.023,155.054
2010,190.977,183.575,161.521,164.852
2011,176.141,154.518,162.024,136.964
2012,92.51,55.244,79.499,95.658
2013,135.22,131.589,172.412,156.707
2014,114.1,120.623,165.86,125.902
2015,16.667,29.31,28.743,47.891
2016,31.235,46.738,53.717,29.803
2017,89.133,115.597,174.133,132.045
2018,110.297,171.825,135.585,148.727
2019,28.27,47.756,95.394,58.043
2020,5.124,2.383,7.283,24.808
