,E13CBetn07p03r1,E13CBetn07p03r2,E13CBetn07p03r3,E13CBetn07p03r4
2007,26.133,28.534,26.854,30.759
2008,19.928,40.177,47.678,35.794
2009,49.983,48.165,76.866,81.033
2010,1.923,33.31,35.537,3.902
2011,1.766,10.248,36.907,23.369
2012,2.043,31.26,59.755,37.938
2013,28.251,53.329,91.414,26.821
2014,3.038,23.404,77.105,2.751
2015,2.431,1.865,51.876,2.629
2016,22.075,44.194,90.869,68.669
2017,24.733,82.324,150.238,113.512
2018,204.198,275.649,419.104,362.528
2019,1.633,46.288,49.176,6.651
2020,1.62,2.737,3.587,8.612
