,E13CBetn07q02r1,E13CBetn07q02r2,E13CBetn07q02r3,E13CBetn07q02r4
2001,47.487,47.125,66.341,49.71
2002,34.821,27.765,38.078,31.204
2003,50.841,53.261,5.483,40.118
2004,37.253,39.563,23.728,27.055
2005,67.935,50.807,11.255,36.9
2006,11.416,22.929,9.382,13.223
2007,42.497,40.851,40.309,46.829
2008,66.956,71.312,59.244,37.321
2009,10.326,19.932,10.894,6.17
2010,62.529,108.113,71.403,43.502
2011,117.798,158.062,180.239,52.533
2012,15.782,84.81,80.794,0.747
2013,3.137,121.759,29.217,0.408
2014,15.471,130.439,5.414,0.413
2015,3.671,54.446,5.414,0.34
2016,21.926,75,34.416,0.413
2017,1.155,126.092,16.35,0.34
2018,0.954,171.429,66.368,0.346
2019,1.021,44.377,3.098,0.408
2020,0.961,7.148,2.927,0.318
