,E13CBetn07t01r1,E13CBetn07t01r2,E13CBetn07t01r3,E13CBetn07t01r4
2006,48.355,72.278,60.123,46.237
2007,146.627,164.784,170.438,149.391
2008,175.04,150.076,194.313,186.996
2009,222.241,217.493,233.836,212.144
2010,179.393,151.868,180.414,149.592
2011,169.781,125.098,146.129,123.709
2012,82.87,73.691,65.908,44.798
2013,63.98,73.622,45.025,75.171
2014,235.83,192,213.107,209.591
2015,80.874,67.969,57.879,76.131
2016,115.915,107.979,141.277,147.733
2017,203.159,189.219,176.533,209.67
2018,351.036,317.521,286.188,264.394
2019,83.023,15.426,79.084,49.178
2020,40.219,46.694,92.831,32.464
