,E13CBetn07v02r1,E13CBetn07v02r2,E13CBetn07v02r3,E13CBetn07v02r4
2004,69.243,61.538,41.111,50.916
2005,78.888,76.634,73.481,71.154
2006,61.538,81.589,78.846,75.614
2007,157.692,138.995,200.452,182.003
2008,90.482,81.498,109.767,98.378
2009,54.105,54.732,50.037,32.692
2010,44.398,35.355,40.567,51.959
2011,58.964,44.31,57.724,69.257
2012,148.73,91.242,72.719,31.469
2013,76.347,102.323,57.749,103.878
2014,45.205,44.379,89.89,82.082
2015,36.785,27.221,50.321,30.904
2016,88.832,79.115,99.08,107.163
2017,46.79,101.455,107.847,45.233
2018,48.65,56.748,55.902,54.154
2019,87.874,44.527,54.154,94.544
2020,122.896,153.268,171.424,133.04
