,E13CBetn07w02r1,E13CBetn07w02r2,E13CBetn07w02r3,E13CBetn07w02r4
2002,57.477,41.072,60.87,45.66
2003,68.104,52.918,82.089,75.031
2004,262.811,242.056,250.058,238.324
2005,161.425,156.763,180.702,164.141
2006,86.39,57.539,88.824,80.17
2007,70.409,55.149,47.207,63.1
2008,73.66,62.424,88.682,81.319
2009,168.977,131.888,177.395,173.539
2010,52.44,43.098,63.822,69.173
2011,104.048,64.179,104.169,87.024
2012,108.807,79.829,107.408,127.341
2013,62.743,33.459,29.067,30.512
2014,21.102,18.896,21.325,21.657
2015,25.311,18.475,23.913,14.172
2016,73.16,76.087,81.24,98.103
2017,93.736,74.641,96.352,99.152
2018,71.589,65.414,115.318,97.542
2019,124.203,103.524,159.007,157.263
2020,70.174,159.933,123.19,109.173
