,E13DBetn01t02r1,E13DBetn01t02r2,E13DBetn01t02r3,E13DBetn01t02r4
2007,55.586,74.167,42.048,69.707
2008,154.605,77.866,160.57,161.403
2009,100.274,77.8,99.258,138.139
2010,127.992,70.589,111.221,130.864
2011,92.999,46.444,96.581,106.631
2012,41.118,9.443,57.271,71.775
2013,237.622,141.518,198.777,235.592
2014,217.858,169.745,185.075,194.68
2015,159.324,131.95,196.618,183.714
2016,133.089,131.534,121.088,144.924
2017,227.898,233.517,251.804,227.643
2018,50.85,45.268,45.529,38.569
2019,33.995,29.43,72.954,26.247
2020,29.86,35.38,43.121,40.195
