,E13DBetn01v08r1,E13DBetn01v08r2,E13DBetn01v08r3,E13DBetn01v08r4
2001,267.369,214.601,208.706,241.625
2002,175.228,208.495,175.96,185.892
2003,94.673,91.463,107.256,110.497
2004,202.356,180.039,172.537,192.705
2005,122.826,139.437,159.736,113.674
2006,102.962,70.704,73.799,80.379
2007,126.372,119.066,137.729,150.794
2008,266.029,242.671,300.812,246.262
2009,24.445,20.226,6.836,7.137
2010,23.391,21.746,45.83,36.539
2011,11.796,21.196,11.191,5.732
2012,59.336,12.006,9.627,10.914
2013,41.463,22.289,5.842,8.67
2014,33.001,55.65,49.642,24.11
2015,78.382,101.233,65.922,27.067
2016,22.039,24.067,19.336,10.047
2017,16.73,3.843,7.461,13.868
2018,45.675,22.605,58.7,34.193
2019,3.036,28.308,78.809,6.875
2020,44.272,76.281,118.637,28.779
