,E13DBetn02o01r1,E13DBetn02o01r2,E13DBetn02o01r3,E13DBetn02o01r4
2004,34.67,47.063,16.774,46.51
2005,25.928,14.565,44.057,25.804
2006,27.776,27.574,47.919,30.761
2007,36.458,24.445,53.883,52.355
2008,17.186,15.847,28.77,33.623
2009,62.828,48.156,45.573,74.585
2010,54.771,28.186,48.838,58.995
2011,56.617,33.306,47.318,81.807
2012,59.822,27.712,51.306,69.75
2013,76.095,11.796,32.793,71.358
2014,87.404,52.739,44.256,83.607
2015,126.171,65.089,75.153,114.378
2016,103.816,66.513,73.628,133.852
2017,84.609,34.373,31.353,64.899
2018,52.078,20.914,31.835,80.333
2019,99.508,38.138,55.339,144.63
2020,49.281,4.861,3.241,76.859
