,E13DBetn02p02r1,E13DBetn02p02r2,E13DBetn02p02r3,E13DBetn02p02r4
2006,36.928,35.05,31.622,41.253
2007,22.478,20.011,57.638,20.795
2008,12.546,19.697,23.891,4.724
2009,21.111,26.408,27.099,7.663
2010,40.887,21.769,18.421,2.512
2011,46.001,40.203,43.111,9.906
2012,107.637,99.781,112.971,34.501
2013,49.86,76.247,58.748,10.763
2014,63.12,100.139,86.802,7.141
2015,56.569,56.82,58.672,10.832
2016,14.375,16.879,23.789,12.262
2017,77.232,107.938,79.537,3.612
2018,144.113,141.935,128.358,54.359
2019,111.787,140.047,89.156,26.929
2020,97.332,84.163,7.022,10.608
