,E13DBetn02q01r1,E13DBetn02q01r2,E13DBetn02q01r3,E13DBetn02q01r4
2005,61.928,54.116,75.463,102.861
2006,30.594,40.819,9.798,17.4
2007,83.33,44.674,82.107,112.845
2008,30.744,21.908,38.078,57.808
2009,47.361,54.891,75.018,81.197
2010,58.175,36.267,66.304,79.109
2011,35.053,36.091,61.883,71.98
2012,93.377,85.43,95.999,110.491
2013,43.376,47.454,58.244,73.029
2014,89.502,82.668,103.723,127.745
2015,62.783,88.317,100.289,112.925
2016,9.798,16.462,23.395,34.036
2017,84.784,93.846,127.281,148.5
2018,140.387,171.963,226.977,207.385
2019,168.731,179.181,216.461,192.644
2020,134.652,113.299,157.632,171.499
