,E13DBetn02s05r1,E13DBetn02s05r2,E13DBetn02s05r3,E13DBetn02s05r4
2009,56.665,110.644,109.615,149.707
2010,150.756,132.128,89.317,83.778
2011,183.872,142.074,172.713,125.377
2012,134.735,137.824,141.631,106.421
2013,169.509,213.483,187.674,106.94
2014,108.631,138.927,154.401,70.066
2015,37.696,46.203,63.83,38.949
2016,97.708,111.024,160.862,108.258
2017,198.202,208.085,254.328,243.166
2018,419.023,279.562,398.216,390.301
2019,387.813,321.348,338.27,338.209
2020,497.719,433.426,338.544,359.14
