,E13VBetn02r03r1,E13VBetn02r03r2,E13VBetn02r03r3,E13VBetn02r03r4
2004,66.129,88.738,59.126,128.97
2005,171.794,148.727,178.692,124.598
2006,149.061,127.9,131.495,145.668
2007,226.506,242.833,235.213,140.222
2008,182.725,254.037,200.948,120.397
2009,223.988,264.806,213.812,143.478
2010,265.471,183.618,164.359,198.411
2011,96.69,65.972,56.373,44.139
2012,101.52,96.751,245.721,146.336
2013,105.732,58.423,119.842,95.806
2014,136.575,0.48,3.961,3.261
2015,34.365,0.735,2.879,5.435
2016,25.976,0.735,3.198,2.174
2017,135.463,0.626,2.299,41.319
2018,497.455,0.531,154.102,422.826
2019,207.885,0.576,130.64,207.253
2020,43.797,0.576,5.663,77.662
