,E13VBetn03s01r1,E13VBetn03s01r2,E13VBetn03s01r3,E13VBetn03s01r4
2005,158.793,100.659,130.167,77.047
2006,262.639,243.496,244.216,291.9
2007,272.776,186.321,199.192,255.245
2008,170.455,141.905,124.777,182.637
2009,115.953,101.821,82.78,112.195
2010,72.984,75.376,50.621,74.267
2011,88.832,84.37,43.09,72.202
2012,113.275,78.167,63.785,63.305
2013,132.011,113.275,105.07,113.192
2014,215.961,173.363,110.889,200.831
2015,49.297,33.709,6.681,57.471
2016,107.403,113.84,60.284,103.153
2017,187.159,155.296,166.095,222.189
2018,676.295,560.441,550.141,587.737
2019,337.719,356.678,317.1,317.51
2020,347.833,205.536,269.288,285.805
