,E13VBetn01u01r1,E13VBetn01u01r2,E13VBetn01u01r3,E13VBetn01u01r4
2003,74.913,73.335,71.286,77.297
2004,81.166,98.338,95.064,80.177
2005,93.504,75.087,125.227,96.568
2006,136.325,161.898,148.861,99.396
2007,77.243,140.011,134.449,85.711
2008,102.572,131.194,113.845,104.24
2009,95.188,132.671,135.7,129.708
2010,100.077,127.892,176.837,139.951
2011,25.584,58.383,87.835,40.56
2012,6.88,28.717,24.134,32.187
2013,43.008,133.306,139.198,179.701
2014,67.49,46.846,113.263,87.558
2015,0,0,0,0
2016,68.857,1.678,28.696,63.636
2017,132.06,59.862,68.616,111.991
2018,548.655,295.677,441.39,394.95
2019,397.578,2.98,224.926,217.146
2020,82.566,3.414,113.98,74.384
