,E13VBetn02p01r1,E13VBetn02p01r2,E13VBetn02p01r3,E13VBetn02p01r4
2008,44.621,52.96,52.011,53.985
2009,45.04,47.829,27.675,27.723
2010,54.894,78.089,33.005,31.016
2011,30.744,30.997,31.657,26.447
2012,211.968,219.258,82.022,65.491
2013,101.14,93.094,43.482,44.421
2014,17.527,10.924,1.359,2.345
2015,18.606,42.562,1.223,1.888
2016,10.383,23.993,1.095,1.978
2017,54.959,146.35,98.276,5.077
2018,303.252,478.485,402.278,214.486
2019,170.969,209.087,162.5,100.389
2020,16.672,43.371,42.325,13.93
