,E13ABetn02r04r1,E13ABetn02r04r2,E13ABetn02r04r3,E13ABetn02r04r4
2001,128.749,148.232,102.5,128.465
2002,44.629,34.517,30.812,47.102
2003,164.454,172.849,172.697,145.031
2004,76.582,79.621,87.131,67.563
2005,53.77,55.377,54.56,47.656
2006,133.089,161.443,139.951,106.893
2007,40.019,38.515,92.487,72.876
2008,142.562,145.751,106.334,130.783
2009,56.28,0,0,49.003
2010,148.934,178.421,103.451,104.23
2011,0,0,0,0
2012,134.868,128.13,0,80.984
2013,95.723,28.985,0,82.319
2014,0,0,0,0
2015,101.566,79.71,6.944,48.718
2016,36.413,52.799,6.934,0
2017,0,0,0,0
2018,22.17,12.34,0,0
2019,45.19,18.966,0,0
2020,33.459,66.117,0,0
