,E13ABetn02u01r1,E13ABetn02u01r2,E13ABetn02u01r3,E13ABetn02u01r4
2001,72.264,160.423,138.298,91.092
2002,29.688,94.467,91.849,44.159
2003,0,67.833,65.814,0
2004,23.338,88.132,71.604,52.066
2005,94.271,151.888,185.83,81.049
2006,90.067,110.636,168.864,0
2007,0,42.28,81.972,0
2008,0,33.223,55.477,0
2009,58.446,111.657,134.718,20.258
2010,33.33,52.594,78.353,37.572
2011,0,32.769,25.334,0
2012,0,11.407,39.386,0
2013,19.088,31.806,36.848,25.399
2014,3.525,30.279,50.946,0
2015,0,45.631,0,0
2016,0,0,0,0
2017,0,0,0,0
2018,0,0,0,0
2019,0,0,0,0
2020,0,0,0,0
