,E13ABetn02v04r1,E13ABetn02v04r2,E13ABetn02v04r3,E13ABetn02v04r4
2001,19.091,113.463,54.56,50.21
2002,4.348,0,9.08,7.461
2003,5.978,43.041,61.235,53.018
2004,44.052,148.005,135.461,94.183
2005,38.774,117.938,107.29,69.975
2006,65.002,91.1,60.528,62.251
2007,46.196,112.195,70.215,74.932
2008,22.408,49.868,143.04,118.011
2009,34.565,105.39,139.855,124.006
2010,54.481,55.816,109.658,71.743
2011,39.044,7.838,70.215,35.023
2012,39.047,8.756,142.444,122.464
2013,48.076,85.657,32.568,22.475
2014,21.258,27.231,7.461,9.28
2015,3.306,11.615,71.973,92.587
2016,28.344,40.013,92.686,78.133
2017,4.348,28.859,19.511,12.902
2018,6.522,54.69,56.92,120.233
2019,4.221,11.342,0,0
2020,0,0,0,0
