,E13ABetn03o01r1,E13ABetn03o01r2,E13ABetn03o01r3,E13ABetn03o01r4
2004,47.366,34.48,75.405,51.004
2005,82.564,88.477,88.78,77.756
2006,93.827,58.076,56.577,51.674
2007,118.337,88.783,92.584,81.006
2008,111.568,50.811,91.096,81.913
2009,53.27,24.07,32.601,17.732
2010,61.987,0,59.675,30.757
2011,83.01,17.617,74.909,59.031
2012,81.551,38.702,62.596,73.099
2013,62.276,0,42.998,54.747
2014,30.781,0,16.144,22.772
2015,63.09,0,46.397,38.477
2016,83.719,0,24.816,27.783
2017,40.503,0,12.534,0
2018,79.025,0,0,0
2019,49.048,0,0,0
2020,93.527,0,0,0
