,E13ABetn03p01r1,E13ABetn03p01r2,E13ABetn03p01r3,E13ABetn03p01r4
2002,91.919,80.39,89.189,90.391
2003,0,0,61.017,0
2004,78.484,112.021,118.266,62.085
2005,81.909,137.361,123.408,103.166
2006,81.865,176.837,93.48,73.817
2007,90.697,153.635,18.663,54.738
2008,63.515,117.438,0,22.826
2009,31.357,52.963,0,37.966
2010,170.351,121.965,22.813,170.874
2011,185.437,207.079,38.16,110.87
2012,189.134,227.85,63.828,154.352
2013,78.857,163.153,28.37,73.279
2014,70.01,175.644,8.823,113.064
2015,0,0,0,0
2016,67.288,91.082,0,68.072
2017,0,0,0,0
2018,61.561,25.774,0,78.72
2019,72.206,9.114,0,60.402
2020,0,0,0,28.942
