year,E13CBetn01r01r1,E13CBetn01r01r2,E13CBetn01r01r3,E13CBetn01r01r4
2005,238.408,255.328,259.881,177.95
2006,0,227.929,283.601,0
2007,64.894,124.564,153.084,139.692
2008,123.539,59.376,78.772,139.44
2009,203.948,0,0,165.524
2010,225.799,147.835,76.335,222.609
2011,227.357,201.84,114.127,195.686
2012,208.232,177.684,107.623,222.755
2013,82.086,143.443,89.295,149.399
2014,120.597,102.607,109.322,129.627
2015,237.442,143.997,154.945,258.453
2016,44.652,0,0,66.133
2017,122.058,38.956,48.269,165.652
2018,129.646,105.732,203.809,245.576
2019,69.191,92.231,55.306,104.913
2020,0,50.73,89.251,0
