"","E13CBetn01r03r1","E13CBetn01r03r2","E13CBetn01r03r3","E13CBetn01r03r4"
"2008",116.473,111.605,107.583,124.727
"2009",211.298,183.167,211.119,202.764
"2010",157.25,148.165,164.662,163.316
"2011",109.711,127.434,144.438,102.815
"2012",86.206,103.626,132.542,84.674
"2013",67.793,88.827,99.366,81.857
"2014",83.438,75.545,100.307,94.572
"2015",91.312,92.47,100.853,98.197
"2016",79.55,78.261,68.36,67.569
"2017",43.053,29.368,31.225,25.187
"2018",48.128,56.616,37.685,27.251
"2019",31.55,45.768,24.703,18.623
"2020",53.705,105.208,111.322,56.741
