,E13CBetn01s03r1,E13CBetn01s03r2,E13CBetn01s03r3,E13CBetn01s03r4
2007,48.815,41.222,74.891,97.389
2008,87.441,90.904,85.556,51.327
2009,246.994,182.351,265.654,243.867
2010,185.146,180.183,196.425,176.379
2011,200.831,163.808,142.8,152.498
2012,179.71,149.418,166.673,138.149
2013,175.368,186.976,141.304,160.029
2014,49.281,49.408,48.599,22.881
2015,32.641,45.213,39.157,29.31
2016,42.029,55.077,44.927,31.126
2017,106.583,76.256,95.027,137.49
2018,51.454,71.772,39.157,117.402
2019,153.707,60.87,77.591,104.24
2020,133.493,181.173,168.192,46.224
