,E13CBetn07v04r1,E13CBetn07v04r2,E13CBetn07v04r3,E13CBetn07v04r4
2008,69.87,84.783,63.193,37.966
2009,225.773,252.717,195.761,206.933
2010,173.055,200.425,193.478,215.305
2011,92.359,135.9,123.932,158.711
2012,57.393,89.791,76.211,88.278
2013,54.348,91.408,65.217,61.372
2014,94.709,133.249,119.565,112.309
2015,26.89,62.251,52.219,27.498
2016,29.004,83.065,50.047,33.254
2017,24.305,52.264,39.67,27.498
2018,43.965,70.409,69.87,46.473
2019,60.908,96.855,69.87,63.64
2020,56.522,89.791,65.543,43.965
