,E13DBetn01t02r1,E13DBetn01t02r2,E13DBetn01t02r3,E13DBetn01t02r4
2006,55.586,74.167,42.048,69.707
2007,154.605,77.866,160.57,161.403
2008,100.274,77.8,99.258,138.139
2009,127.992,70.589,111.221,130.864
2010,92.999,46.444,96.581,106.631
2011,41.118,0,57.271,71.775
2012,237.622,141.518,198.777,235.592
2013,217.858,169.745,185.075,194.68
2014,159.324,131.95,196.618,183.714
2015,133.089,131.534,121.088,144.924
2016,237.162,233.517,251.804,227.643
2017,33.192,45.268,45.529,38.569
2018,14.134,29.43,34.617,26.247
2019,34.941,24.357,38.376,19.647
2020,23.222,16.692,43.121,20.631
