,E13DBetn02p03r1,E13DBetn02p03r2,E13DBetn02p03r3,E13DBetn02p03r4
2006,33.789,28.183,36.496,36.719
2007,25.416,21.277,14.239,24.575
2008,15.249,15.252,20.782,27.314
2009,10.64,18.835,22.52,28.272
2010,6.216,9.931,18.824,10.322
2011,33.688,28.369,33.692,50.302
2012,76.509,76.625,83.689,81.218
2013,53.371,46.809,58.887,50.714
2014,60.587,44.349,51.784,81.384
2015,51.241,49.348,47.905,34.752
2016,23.23,21.515,12.062,21.817
2017,89.184,70.294,76.639,71.009
2018,105.5,101.036,98.701,113.609
2019,120.583,109.464,70.213,88.163
2020,63.99,73.505,0,27.083
