,E13DBetn03s01r1,E13DBetn03s01r2,E13DBetn03s01r3,E13DBetn03s01r4
2001,469.909,322.473,358.756,451.249
2002,394.043,268.178,263.529,369.408
2003,310.307,158.509,200.772,235.537
2004,232.881,205.925,297.438,313.185
2005,342.207,241.059,393.227,488.414
2006,211.674,140.945,195.262,198.218
2007,300.056,217.88,223.566,238.955
2008,469.301,282.816,223.565,83.229
2009,143.48,60.054,33.049,0
2010,60.874,54.391,57.594,0
2011,0,0,0,0
2012,162.689,45.138,106.902,0
2013,0,0,216.443,64.002
2014,462.467,276.634,313.624,107.229
2015,39.157,37.02,25.352,0
2016,132.17,32.897,98.212,0
2017,184.628,0,203.246,145.697
2018,531.86,259.607,458.742,279.736
2019,436.35,255.682,218.302,166.459
2020,278.566,89.791,124.598,206.531
