,E13DBetn03v01r1,E13DBetn03v01r2,E13DBetn03v01r3,E13DBetn03v01r4
2003,75.338,60.894,97.019,98.899
2004,147.94,153.654,123.44,146.687
2005,101.39,0,76.466,133.493
2006,85.704,42.085,66.34,134.128
2007,29.13,32.015,46.752,52.899
2008,93.952,85.584,77.936,79.792
2009,137.232,146.522,143.729,171.745
2010,137.529,141.423,145.883,116.053
2011,127.596,133.365,115.14,94.997
2012,114.85,108.777,82.559,83.412
2013,91.574,0,0,0
2014,27.622,0,0,44.096
2015,28.593,0,28.593,34.813
2016,71.626,62.501,59.694,63.193
2017,74.694,79.713,50.622,75.062
2018,271.39,272.499,213.545,289.204
2019,225.059,0,80.596,246.467
2020,156.082,89.142,133.058,270.553
