,E13VBetn01s04r1,E13VBetn01s04r2,E13VBetn01s04r3,E13VBetn01s04r4
2001,76.509,108.056,158.406,81.085
2002,172.672,185.857,132.769,216.656
2003,191.23,184.939,138.381,182.754
2004,207.37,181.525,163.712,123.765
2005,229.852,267.658,201.521,218.748
2006,174.035,198.961,143.363,125.923
2007,113.049,104.625,123.445,119.318
2008,112.383,186.969,136.667,149.234
2009,175.014,121.817,118.319,124.432
2010,0,19.595,0,0
2011,76.281,58.109,55.007,67.785
2012,0,23.236,17.827,0
2013,93.307,111.782,85.047,26.647
2014,137.257,205.389,127.134,81.605
2015,0,0,0,0
2016,0,76.752,41.604,19.261
2017,0,120.789,95.862,99.152
2018,0,498.059,461.854,431.403
2019,0,281.194,241.874,410.026
2020,0,120.353,81.297,174.027
