,E13VBetn01t01r1,E13VBetn01t01r2,E13VBetn01t01r3,E13VBetn01t01r4
2007,73.847,137.161,120.784,75.073
2008,88.579,61.526,77.304,128.629
2009,74.184,60.029,80.655,74.462
2010,183.889,111.512,133.938,158.386
2011,165.06,111.661,109.14,135.661
2012,180.958,153.842,160.638,141.258
2013,230.004,194.164,219.891,252.513
2014,244.616,173.045,179.097,267.323
2015,83.873,75.69,74.803,93.579
2016,20.042,32.263,16.049,11.191
2017,23.938,37.857,21.508,11.191
2018,67.706,159.869,81.715,116.408
2019,63.043,0,0,159.453
2020,13.089,0,0,225.142
